geo.place_id,full_name,counts,coords,lat,lon
0022e3c837579650,"Auckland, New Zealand",1,"(-36.852095, 174.7631803)",-36.852095,174.7631803
002e24c6736f069d,"Bronx, NY",2,"(40.8466508, -73.8785937)",40.8466508,-73.8785937
0073b76548e5984f,"Sydney, New South Wales",2,"(-33.8548157, 151.2164539)",-33.8548157,151.2164539
00905fa63942b3ef,Ottawa - Gatineau,1,"(45.4466137, -75.7267857)",45.4466137,-75.7267857
009924a469d7ace1,"Guayaquil, Ecuador",1,"(-2.1900703, -79.8868702)",-2.1900703,-79.8868702
00a961d91f76dde8,"Corrientes, Argentina",1,"(-28.5912315, -57.9394658)",-28.5912315,-57.9394658
00c39537733fa112,"Queens, NY",1,"(40.7135078, -73.8283132)",40.7135078,-73.8283132
00e0e6552e44338b,"South Apopka, FL",1,"(28.6619425, -81.5095165)",28.6619425,-81.5095165
00efea4f0eed2bc6,"Harrison, NY",1,"(41.0195135, -73.71116374834502)",41.0195135,-73.71116374834502
0121b92345f0e2b4,"Miami Beach, FL",1,"(25.7929198, -80.1353006)",25.7929198,-80.1353006
0128fab5ba6d2cd6,"Tampico, Tamaulipas",1,"(22.2329889, -97.8614802)",22.2329889,-97.8614802
012af435641420c7,"Valencia, Venezuela",1,"(10.170026, -68.0003987)",10.170026,-68.0003987
0161be1b3f98d6c3,"Bogotá, D.C., Colombia",2,"(4.6533326, -74.083652)",4.6533326,-74.083652
01864a8a64df9dc4,"Melbourne, Victoria",1,"(-37.8142176, 144.9631608)",-37.8142176,144.9631608
