tweet_id,lang,possibly_sensitive,created_at,text,type,clean_tweet
1464821809686142980,en,False,2021-11-28T05:01:49.000Z,Black Widow was excellent. https://t.co/UtwolvPSTX,quoted,"['widow', 'black', 'excellent']"
1464821807920431105,en,False,2021-11-28T05:01:48.000Z,@Call_Me_FerB Foundation invasion See red notice peli mortal Kombat dune éternals black widow pelis la rueda del tiempo lock and key snowpiercer rised by wolves Wanda vision what if ... Ted lasso for all mand kind y la de Netflix de viajes espaciales no recuerdo el nombre ahora,replied_to,"['black', 'mortal', 'mand', 'netflix', 'rised', 'espaciales', 'tiempo', 'red', 'kombat', 'recuerdo', 'see', 'snowpiercer', 'peli', 'wanda', 'widow', 'foundation', 'lock', 'rueda', 'pelis', 'del', 'wolf', 'vision', 'dune', 'kind', 'ted', 'el', 'viajes', 'lasso', 'la', 'invasion', 'de', 'eternals', 'ferb', 'key', 'nombre', 'ahora', 'notice']"
1464821744133279750,en,False,2021-11-28T05:01:33.000Z,"In case you were wondering why Natasha didn’t get a funeral in Avengers Endgame, here’s an explanation: https://t.co/EHNTH7SgHt",,"['funeral', 'natasha', 'explanation', 'wondering', 'avenger', 'case', 'get', 'endgame']"
1464821696549072902,fr,False,2021-11-28T05:01:22.000Z,@yazkamardine dans les film Marvel j'aurai dis Black Widow mais Venom 2 est moyen,replied_to,"['dans', 'black', 'widow', 'mais', 'marvel', 'venom', 'film', ""j'aurai"", 'dis', 'le', 'moyen', 'est', '2']"
1464821205295378440,en,False,2021-11-28T04:59:25.000Z,"@nnxyyx Cool, so Black Widow takes place between Captain America: Civil War and Avengers: Infinity War. In Civil War, some of the Avengers went to jail because the broke the Sokavia Accords (A Superhero Registration Act).",replied_to,"['black', 'take', 'went', 'broke', '(', 'widow', 'captain', 'civil', 'america', 'place', 'jail', 'act', ')', 'superhero', 'accord', 'a', 'war', 'cool', 'sokavia', 'infinity', 'avenger', 'registration']"
1464821006929829888,es,False,2021-11-28T04:58:37.000Z,naka y yo hicimos q la tati vea black widow y tratar de explicarle pqq queríamos llorar al final fue todo un drama JAJAJAJA,,"['q', 'black', 'llorar', 'vea', 'hicimos', 'drama', 'un', 'pqq', 'widow', 'jajajaja', 'tratar', 'al', 'yo', 'todo', 'queriamos', 'final', 'la', 'de', 'explicarle', 'tati', 'fue', 'naka']"
1464820923261984769,en,False,2021-11-28T04:58:17.000Z,"@Charlotte_Stein A similar thing happened with Black Widow - it has flaws, but the stuff fandom doesn’t like is stupid, mostly: Florence Pugh’s hysterectomy like (dark humor about female trauma from a woman really pissed off dudes) &amp; obsessiveness about Taskmaster being “ruined”",replied_to,"['black', 'female', 'obsessiveness', 'flaw', 'florence', 'stupid', '(', 'dude', 'widow', 'thing', '&', 'hysterectomy', 'mostly', 'fandom', ""'s"", 'ruined', 'taskmaster', ')', 'dark', 'trauma', 'humor', 'woman', 'stuff', 'similar', 'like', 'happened', 'really', 'amp', 'stein', 'pugh', 'pissed']"
1464820851946102788,en,False,2021-11-28T04:58:00.000Z,"black widow, wonder woman 1984, shang chi, venom ltbc

idk they're all mid for me",,"['idk', 'widow', 'black', '1984', 'shang', 'mid', 'venom', 'chi', 'woman', 'wonder', 'ltbc']"
1464820458826743810,en,False,2021-11-28T04:56:27.000Z,"@saIemslot He visto como 5 cosas de esa lista, PERO BLACK WIDOW TAN ARRIBA? Shaking, crying and throwing up rn",replied_to,"['esa', 'visto', 'black', 'widow', 'pero', 'rn', 'tan', 'como', 'arriba', 'cosas', 'throwing', '?', 'cry', 'shaking', 'lista', 'de', '5']"
1464820340568244227,en,False,2021-11-28T04:55:58.000Z,"@JaeCesa Yay okay! Soooo why did she said she was going to bail the rest of the avengers out of jail in the end ? How did they end up in jail?and for what ? (Btw the last three I saw was End game, spider man, and black widow).",replied_to,"['saw', 'black', 'and', 'spider', 'bail', '?', 'man', 'last', 'said', 'soooo', 'three', 'yay', '(', 'going', 'widow', 'jail', 'btw', 'end', 'okay', 'rest', ')', '!', 'game', 'avenger']"
1464819495432822784,en,False,2021-11-28T04:52:37.000Z,"I can cross Black Widow off the list, still need to watch Shang-Chi and The Eternals.",,"['widow', 'black', 'watch', 'still', 'shang', 'cross', 'chi', 'need', 'eternals', 'list']"
1464818945425240068,es,False,2021-11-28T04:50:26.000Z,@ibestliviehrry Despues de ver black widow (como se escriba) me dolió mucho más su muerte,replied_to,"['widow', 'black', 'su', 'como', 'dolio', ')', 'escriba', 'ver', 'mucho', 'se', 'muerte', 'ma', 'de', 'despues', '(']"
1464818679992836099,en,False,2021-11-28T04:49:22.000Z,@ItsSexNudes @ItsDaIAnEx She looks like damn black widow,replied_to,"['like', 'widow', 'black', 'damn', 'look']"
1464818552800747529,en,False,2021-11-28T04:48:52.000Z,So in this black widow movie they made task master a robot?,,"['made', 'widow', 'black', 'master', 'task', 'robot', '?', 'movie']"
1464818497251381255,en,False,2021-11-28T04:48:39.000Z,"@Leo_Rydel Captain Marvel was a snoozefest- 
Wandavisions finale was lame
black widow was really good but they should have made earlier or not at all.
Infinity War is better than Endgame.
Loki should not have come back after infinity war",replied_to,"['black', 'good', 'finale', 'back', 'endgame', 'made', 'widow', 'loki', 'captain', 'better', 'marvel', 'lame', 'wandavisions', 'come', 'earlier', 'war', 'really', 'infinity', 'rydel', 'snoozefest']"
1464818335376363530,en,False,2021-11-28T04:48:00.000Z,I wanna be black widow's wife,,"['widow', 'black', 'want', ""'s"", 'wife']"
1464818202559410183,es,False,2021-11-28T04:47:29.000Z,"Oh, lo siento, ¿demasiadas referencias? ¿No viste Black Widow? https://t.co/iGYRrEx8pJ",quoted,"['black', 'widow', 'oh', 'viste', 'referencias', 'no', 'siento', '?', 'lo', 'demasiadas']"
1464817875512922115,en,False,2021-11-28T04:46:11.000Z,"@PMSchumacker In no particular order:
Black Widow
A Quiet Place II
No Time to Die
Jungle Cruise
Luca",replied_to,"['black', 'widow', 'time', 'order', 'place', 'particular', 'quiet', 'ii', 'cruise', 'luca', 'jungle', 'die']"
1464817723129610249,en,False,2021-11-28T04:45:34.000Z,@godzillakir Black widow,replied_to,"['widow', 'black']"
1464817604971929600,en,False,2021-11-28T04:45:06.000Z,@FLASKKY_WS ok which was worse iyo black widow or captain marvel,replied_to,"['black', 'widow', 'iyo', 'worse', 'captain', 'marvel', 'w', 'ok']"
1464817404324691973,en,False,2021-11-28T04:44:18.000Z,"Just came to me that if this was done comic accurate, Black Widow would have actually murked all of them. Those were deathblows 😬 https://t.co/BlAHtpT3Lp",quoted,"['black', 'widow', 'deathblow', 'would', 'done', 'comic', 'actually', 'murked', 'came', 'accurate']"
1464817342932783105,en,False,2021-11-28T04:44:04.000Z,"Captain Marvel &amp; Black Widow are actually really damn good movies. Most of the time I see people crapping on them, it’s a bunch of dudebros that don’t talk to any girls other than their moms :// https://t.co/cYtnXpeiOp",quoted,"['black', 'girl', 'good', 'damn', 'see', 'widow', 'captain', '&', 'marvel', 'dudebros', 'movie', '//', 'people', 'talk', 'actually', 'crapping', 'time', 'really', 'amp', 'mom', 'bunch']"
1464817255661899776,en,False,2021-11-28T04:43:43.000Z,"@DanTypo Women don't always have to be stereotypically ""strong"" to be worth telling stories about. We don't tell stories only about male heroes. The token women/Smurfette principle (Leia, Wonder Woman, Black Widow, Gamora, Eleven...) is also part of this problem.",replied_to,"['black', 'hero', 'problem', 'woman', 'stereotypically', 'story', 'male', '(', 'strong', 'telling', 'widow', 'worth', 'women/smurfette', 'part', ')', 'woman', 'token', 'leia', 'tell', 'also', 'gamora', 'always', 'principle', 'eleven', 'wonder']"
1464817153778069504,pt,False,2021-11-28T04:43:19.000Z,"As únicas pessoas que acham black widow bom são pessoas que só se importam que a scarlett johansson voltou como viúva negra e ta pouco se fodendo pra história e construção dos personagens, pq me recuso a acreditar que alguém realmente ache aquela bosta boa de verdade",,"['unicas', 'black', 'voltou', 'do', 'aquela', 'que', 'pessoas', 'widow', 'boa', 'johansson', 'pra', 'personagens', 'importam', 'verdade', 'viuva', 'pq', 'construcao', 'negra', 'bosta', 'bom', 'recuso', 'acreditar', 'realmente', 'alguem', 'fodendo', 'ta', 'e', 'acham', 'de', 'sao', 'historia', 'ache', 'scarlett', 'como', 'pouco', 'se']"
1464816609869115398,en,False,2021-11-28T04:41:09.000Z,Black widow? easily worst MCU movie. i skipped through most of it,,"['widow', 'black', 'easily', 'worst', 'skipped', '?', 'movie', 'mcu']"
1464816518953242624,en,False,2021-11-28T04:40:47.000Z,@CloudZill4 Ok but that would actually be kinda cool like what if Peter got bit by a black widow or hunts men spider,replied_to,"['like', 'black', 'widow', 'got', 'would', 'kind', 'cool', 'spider', 'actually', 'ok', 'men', 'hunt', 'bit', 'peter']"
1464816227134709767,pt,False,2021-11-28T04:39:38.000Z,@Leandro28053480 @RENIC0 @EternalsBRA Black Widow é uma vergonha só por existir,replied_to,"['widow', 'black', 'existir', 'por', 'vergonha', 'e', 'uma']"
1464816016576237572,en,False,2021-11-28T04:38:47.000Z,i actually liked black widow 😕 this time…good job marvel https://t.co/lI70kfcfwl,,"['black', 'widow', 'time', 'good', 'marvel', 'actually', 'liked', 'job']"
1464815608592318466,en,False,2021-11-28T04:37:10.000Z,Black Widow was a fantastic movie and I sick of people saying that it wasn’t,,"['widow', 'black', 'sick', 'fantastic', 'saying', 'movie', 'people']"
1464815596705624066,en,False,2021-11-28T04:37:07.000Z,"@BlackestBeast While the story in black widow was meh, I did really like the chemistry between the family.",replied_to,"['like', 'widow', 'black', 'meh', 'really', 'family', 'story', 'chemistry']"
1464815545270767623,en,False,2021-11-28T04:36:55.000Z,https://t.co/cU05nu7Qh3 Widow&amp;avatar=6 https://t.co/PEe3NV3uEW,,[]
1464815521875046402,en,False,2021-11-28T04:36:50.000Z,@Spifmick Oh yeah that’s 100% being set up. But I highly doubt Yelena will spend more than a movie or so as a villain. I think she’s going to get the Black Widow treatment Natasha deserved. She’s too complex a character to just be pushed off as “bad.”,replied_to,"['black', 'treatment', '100', 'movie', 'deserved', '%', 'going', 'widow', 'yeah', 'think', 'doubt', 'bad', 'complex', 'natasha', 'villain', 'character', 'set', 'oh', 'highly', 'yelena', 'spend', 'get', 'pushed']"
1464815520494997510,en,False,2021-11-28T04:36:49.000Z,Watching Black Widow for the 3rd time. Praying I don’t fall asleep during the starting credits for the 3rd time. Wish me luck,,"['black', 'widow', 'credit', 'fall', 'time', 'asleep', 'wish', '3rd', 'praying', 'starting', 'luck', 'watching']"
1464815512181821444,en,False,2021-11-28T04:36:47.000Z,"@AiSeeHope That man is living in 4K, he’s here to take lives. Loving his black widow best life.",replied_to,"['black', 'widow', 'loving', 'life', 'man', 'best', 'living', 'take', '4k', 'life']"
1464815353502973952,en,False,2021-11-28T04:36:09.000Z,"BLACK WIDOW 2014, ISSUE TWO https://t.co/ay0AGYtVsI",,"['widow', 'black', 'two', 'issue', '2014']"
1464814865885847555,en,False,2021-11-28T04:34:13.000Z,I’m finally watching black widow and I don’t think it’s really giving what I thought it would…,,"['black', 'widow', 'thought', 'would', 'really', 'think', 'finally', 'I', 'watching', 'giving']"
1464814315505131524,en,False,2021-11-28T04:32:02.000Z,Finally watched Black Widow.. I loved it 🥺🥺🥺,,"['widow', 'black', 'finally', 'loved', 'watched']"
1464813389209812994,en,False,2021-11-28T04:28:21.000Z,Who keeps up with the Avenger movies (like all of the storylines) and watched the Black Widow movie?,,"['avenger', 'like', 'storyline', 'black', 'widow', 'keep', ')', '?', 'movie', 'movie', '(', 'watched']"
1464813388467347464,en,False,2021-11-28T04:28:21.000Z,"BLACK WIDOW 2020, ISSUE 5 https://t.co/BnusDoSaP0",,"['widow', 'black', 'issue', '2020', '5']"
1464813086959759362,en,False,2021-11-28T04:27:09.000Z,"@redlettermedia asks us to make their Black Widow half in the bag episode the most disliked video in the history of the world and all of a sudden YouTube aint showin us the numbers???? In the words of Santa Claus, ""absolute fuckin bullshit. Unprofessional bullshit."" https://t.co/XesW4XXnXF",,"['black', 'history', '?', 'disliked', 'video', 'episode', 'word', 'sudden', 'unprofessional', 'widow', 'bullshit', 'make', 'u', 'absolute', 'half', 'number', 'asks', 'bag', 'fuckin', 'claus', 'santa', 'world', 'showin', 'youtube']"
